#separator:tab
#html:true
#columns:Key	Component	Pinyin	Meaning	MemberChars	SameSyllableChars	Reliability	Productivity	Frequency	Decomposition	CrossRefs	Note	Link	Audio	Tags
#tags column:15
采:cai3	采	cǎi	to pick / to pluck / to collect / to select / to choose / to gather	彩踩睬綵	菜	5/6	5	585	once:爫+木;radical:爫+木			https://hanzicraft.com/dashboard/character/%E9%87%87%E5%BD%A9%E8%B8%A9%E7%9D%AC%E7%B6%B5	[sound:cai3.mp3]	phonetic-component
仓:cang1	仓	cāng	barn / granary / storehouse / cabin / hold (in ship)	苍舱沧伧			14	1879	once:人+㔾;radical:人+乚+㇆			https://hanzicraft.com/dashboard/character/%E4%BB%93%E8%8B%8D%E8%88%B1%E6%B2%A7%E4%BC%A7	[sound:cang1.mp3]	phonetic-component
倉:cang1	倉	cāng	barn / granary / storehouse / cabin / hold (in ship)	蒼艙滄傖			6	1879	once:亽+?;radical:人+丶+丨+彐+口			https://hanzicraft.com/dashboard/character/%E5%80%89%E8%92%BC%E8%89%99%E6%BB%84%E5%82%96	[sound:cang1.mp3]	phonetic-component
曹:cao2	曹	cáo	class or grade / generation / plaintiff and defendant (old) / government department (old)	槽嘈漕艚螬		6/10	10	1568	once:?+日;radical:艹+?+二+凵+日			https://hanzicraft.com/dashboard/character/%E6%9B%B9%E6%A7%BD%E5%98%88%E6%BC%95%E8%89%9A%E8%9E%AC	[sound:cao2.mp3]	phonetic-component
臿:cha1	臿	chā	to separate the grain from the husk	插锸鍤		4/5	4	7887	once:千+臼;radical:㇒+十+臼			https://hanzicraft.com/dashboard/character/%E8%87%BF%E6%8F%92%E9%94%B8%E9%8D%A4	[sound:cha1.mp3]	phonetic-component
查:cha2	查	chá	to research / to check / to investigate / to examine / to refer to / to search	碴楂猹	喳	4/7	9	459	once:木+旦;radical:木+日+一	zhā / 喳渣楂揸		https://hanzicraft.com/dashboard/character/%E6%9F%A5%E7%A2%B4%E6%A5%82%E7%8C%B9	[sound:cha2.mp3]	phonetic-component
昌:chang1	昌	chāng	prosperous / flourishing	娼猖菖阊閶	唱倡		9	1604	once:日			https://hanzicraft.com/dashboard/character/%E6%98%8C%E5%A8%BC%E7%8C%96%E8%8F%96%E9%98%8A%E9%96%B6	[sound:chang1.mp3]	phonetic-component
辰:chen2	辰	chén	5th earthly branch: 7-9 a.m., 3rd solar month (5th April-4th May), year of the Dragon	晨宸		4/22	25	2312	once:厂+?			https://hanzicraft.com/dashboard/character/%E8%BE%B0%E6%99%A8%E5%AE%B8	[sound:chen2.mp3]	phonetic-component
呈:cheng2	呈	chéng	to present to a superior / memorial / petition / to present (a certain appearance) / to assume (a shape) / to be (a certain color)	程裎酲	逞		9	1561	once:口+王;radical:口+王			https://hanzicraft.com/dashboard/character/%E5%91%88%E7%A8%8B%E8%A3%8E%E9%85%B2	[sound:cheng2.mp3]	phonetic-component
成:cheng2	成	chéng	to succeed / to finish / to complete / to accomplish / to become / to turn into / to be all right / OK! / one tenth	城诚誠盛晟			8	59	once:万+戈;radical:一+丿+㇆+戈			https://hanzicraft.com/dashboard/character/%E6%88%90%E5%9F%8E%E8%AF%9A%E8%AA%A0%E7%9B%9B%E6%99%9F	[sound:cheng2.mp3]	phonetic-component
垂:chui2	垂	chuí	to hang (down) / droop / dangle / bend down / hand down / bequeath / nearly / almost / to approach	锤錘捶陲棰			12	1590	once:?+艹;radical:㇒+十+士+艹			https://hanzicraft.com/dashboard/character/%E5%9E%82%E9%94%A4%E9%8C%98%E6%8D%B6%E9%99%B2%E6%A3%B0	[sound:chui2.mp3]	phonetic-component
悤:cong1	悤	cōng	variant of 匆[cong1]	聰蔥骢驄璁		6/7	7		once:囱+心;radical:囗+丶+夂+心			https://hanzicraft.com/dashboard/character/%E6%82%A4%E8%81%B0%E8%94%A5%E9%AA%A2%E9%A9%84%E7%92%81	[sound:cong1.mp3]	phonetic-component
从:cong1	从	cōng	from / via / passing through / through (a gap) / past / ever (followed by negative, meaning never) / (formerly pr. [zong4] and related to 縱|纵) to follow / to comply with / to obey / to join / to engage in / adopting some mode of action or attitude / follower / retainer / accessory / accomplice / related by common paternal grandfather or earlier ancestor	枞樅苁蓯	丛		88	98	once:人	zòng / 從纵縱		https://hanzicraft.com/dashboard/character/%E4%BB%8E%E6%9E%9E%E6%A8%85%E8%8B%81%E8%93%AF	[sound:cong1.mp3]	phonetic-component
代:dai4	代	dài	to substitute / to act on behalf of others / to replace / generation / dynasty / age / period / (historical) era / (geological) eon	袋黛贷貸岱		7/7	7	174	once:亻+弋;radical:亻+弋			https://hanzicraft.com/dashboard/character/%E4%BB%A3%E8%A2%8B%E9%BB%9B%E8%B4%B7%E8%B2%B8%E5%B2%B1	[sound:dai4.mp3]	phonetic-component
單:dan1	單	dān	bill / list / form / single / only / sole / odd number / CL:個|个[ge4]	鄲殫簞癉			9	389	once:吅+?;radical:吅+冂+二+丨+十			https://hanzicraft.com/dashboard/character/%E5%96%AE%E9%84%B2%E6%AE%AB%E7%B0%9E%E7%99%89	[sound:dan1.mp3]	phonetic-component
单:dan1	单	dān	bill / list / form / single / only / sole / odd number / CL:個|个[ge4]	郸殚箪瘅	弹惮掸		13	389	once:丷+?;radical:丷+冂+二+丨+十			https://hanzicraft.com/dashboard/character/%E5%8D%95%E9%83%B8%E6%AE%9A%E7%AE%AA%E7%98%85	[sound:dan1.mp3]	phonetic-component
㝵:de2	㝵	dé	to obtain / archaic variant of 得[de2]	得锝鍀		4/5	3		once:旦+寸;radical:日+一+寸			https://hanzicraft.com/dashboard/character/%E3%9D%B5%E5%BE%97%E9%94%9D%E9%8D%80	[sound:de2.mp3]	phonetic-component
登:deng1	登	dēng	to scale (a height) / to ascend / to mount / to publish or record / to enter (e.g. in a register) / to press down with the foot / to step or tread on / to put on (shoes or trousers)(dialect) / to be gathered and taken to the threshing ground (old)	燈蹬簦噔	瞪镫嶝磴鄧		14	815	once:癶+豆;radical:癶+豆			https://hanzicraft.com/dashboard/character/%E7%99%BB%E7%87%88%E8%B9%AC%E7%B0%A6%E5%99%94	[sound:deng1.mp3]	phonetic-component
啇:di2	啇	dí	antique	嘀嫡镝鏑	滴		7		once:?+𪞐;radical:亠+丷+欠+子			https://hanzicraft.com/dashboard/character/%E5%95%87%E5%98%80%E5%AB%A1%E9%95%9D%E9%8F%91	[sound:di2.mp3]	phonetic-component
氐:di3	氐	dǐ	name of an ancient tribe	底抵邸砥诋	低羝	11/17	17	4340	once:氏+丶;radical:氏+丶			https://hanzicraft.com/dashboard/character/%E6%B0%90%E5%BA%95%E6%8A%B5%E9%82%B8%E7%A0%A5%E8%AF%8B	[sound:di3.mp3]	phonetic-component
帝:di4	帝	dì	emperor	蒂谛諦缔締			12	612	once:?+巾;radical:亠+丷+冖+巾			https://hanzicraft.com/dashboard/character/%E5%B8%9D%E8%92%82%E8%B0%9B%E8%AB%A6%E7%BC%94%E7%B7%A0	[sound:di4.mp3]	phonetic-component
弟:di4	弟	dì	younger brother / junior male / I (modest word in letter)	递娣睇			13	814	once:丷+𢎨;radical:丷+弓+丨+㇒	tì / 涕剃悌		https://hanzicraft.com/dashboard/character/%E5%BC%9F%E9%80%92%E5%A8%A3%E7%9D%87	[sound:di4.mp3]	phonetic-component
丁:ding1	丁	dīng	fourth of 10 heavenly stems 十天干 / fourth in order / letter "D" or roman "IV" in list "A, B, C", or "I, II, III" etc / butyl / cubes (of food)	盯钉釘叮仃	顶订酊頂訂		24	1166	once:一+亅;radical:一+亅			https://hanzicraft.com/dashboard/character/%E4%B8%81%E7%9B%AF%E9%92%89%E9%87%98%E5%8F%AE%E4%BB%83	[sound:ding1.mp3]	phonetic-component
定:ding4	定	dìng	to set / to fix / to determine / to decide / to order	锭錠碇腚啶			8	77	once:宀+𤴓;radical:宀+一+龰			https://hanzicraft.com/dashboard/character/%E5%AE%9A%E9%94%AD%E9%8C%A0%E7%A2%87%E8%85%9A%E5%95%B6	[sound:ding4.mp3]	phonetic-component
冬:dong1	冬	dōng	sound of beating a drum / onomatopoeia for rat-a-tat etc	鼕咚氡			9	1382	once:夂+⺀;radical:夂+⺀			https://hanzicraft.com/dashboard/character/%E5%86%AC%E9%BC%95%E5%92%9A%E6%B0%A1	[sound:dong1.mp3]	phonetic-component
豆:dou4	豆	dòu	bean / pea / CL:棵[ke1],粒[li4] / sacrificial vessel	逗痘			63	1791	once:𠮛+䒑			https://hanzicraft.com/dashboard/character/%E8%B1%86%E9%80%97%E7%97%98	[sound:dou4.mp3]	phonetic-component
度:du4	度	dù	to pass / to spend (time) / measure / limit / extent / degree of intensity / degree (angles, temperature etc) / kilowatt-hour / classifier for events and occurrences	渡镀鍍		4/5	4	184	once:?+又;radical:广+廿+又			https://hanzicraft.com/dashboard/character/%E5%BA%A6%E6%B8%A1%E9%95%80%E9%8D%8D	[sound:du4.mp3]	phonetic-component
段:duan4	段	duàn	paragraph / section / segment / stage (of a process) / classifier for stories, periods of time, lengths of thread etc	缎緞锻鍛椴		7/7	7	567	once:?+殳;radical:丨+?+殳			https://hanzicraft.com/dashboard/character/%E6%AE%B5%E7%BC%8E%E7%B7%9E%E9%94%BB%E9%8D%9B%E6%A4%B4	[sound:duan4.mp3]	phonetic-component
朵:duo3	朵	duǒ	flower / earlobe / fig. item on both sides / classifier for flowers, clouds etc	躲垛哚	跺剁		5	1569	once:几+木;radical:几+木			https://hanzicraft.com/dashboard/character/%E6%9C%B5%E8%BA%B2%E5%9E%9B%E5%93%9A	[sound:duo3.mp3]	phonetic-component
咢:e4	咢	è	beat a drum / startle	愕鄂萼鳄颚			12		once:吅+亏;radical:吅+二+㇉			https://hanzicraft.com/dashboard/character/%E5%92%A2%E6%84%95%E9%84%82%E8%90%BC%E9%B3%84%E9%A2%9A	[sound:e4.mp3]	phonetic-component
厄:e4	厄	è	distressed	呃扼轭軛阨			10	2402	once:厂+㔾;radical:厂+乚+㇆			https://hanzicraft.com/dashboard/character/%E5%8E%84%E5%91%83%E6%89%BC%E8%BD%AD%E8%BB%9B%E9%98%A8	[sound:e4.mp3]	phonetic-component
而:er2	而	ér	and / as well as / and so / but (not) / yet (not) / (indicates causal relation) / (indicates change of state) / (indicates contrast)	鸸鲕輀胹鴯		5/24	41	36	once:丆+𦉫			https://hanzicraft.com/dashboard/character/%E8%80%8C%E9%B8%B8%E9%B2%95%E8%BC%80%E8%83%B9%E9%B4%AF	[sound:er2.mp3]	phonetic-component
伐:fa2	伐	fá	to cut down / to fell / to dispatch an expedition against / to attack / to boast	阀閥筏		4/4	4	1808	once:亻+戈;radical:亻+戈			https://hanzicraft.com/dashboard/character/%E4%BC%90%E9%98%80%E9%96%A5%E7%AD%8F	[sound:fa2.mp3]	phonetic-component
凡:fan2	凡	fán	ordinary / commonplace / mundane / temporal / of the material world (as opposed to supernatural or immortal levels) / every / all / whatever / altogether / gist / outline / note of Chinese musical scale	矾钒釩	帆梵	4/8	8	1011	once:几+丶;radical:几+丶			https://hanzicraft.com/dashboard/character/%E5%87%A1%E7%9F%BE%E9%92%92%E9%87%A9	[sound:fan2.mp3]	phonetic-component
非:fei1	非	fēi	to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must	菲啡绯緋扉	匪斐诽腓翡蜚榧痱悱篚		34	283	once:?			https://hanzicraft.com/dashboard/character/%E9%9D%9E%E8%8F%B2%E5%95%A1%E7%BB%AF%E7%B7%8B%E6%89%89	[sound:fei1.mp3]	phonetic-component
分:fen1	分	fēn	to divide / to separate / to allocate / to distinguish (good and bad) / part or subdivision / fraction / one tenth (of certain units) / unit of length equivalent to 0.33 cm / minute / a point (in sports or games) / 0.01 yuan (unit of money)	纷紛芬吩氛	粉忿汾棼鼢魵蚡		31	79	once:八+刀;radical:八+刀			https://hanzicraft.com/dashboard/character/%E5%88%86%E7%BA%B7%E7%B4%9B%E8%8A%AC%E5%90%A9%E6%B0%9B	[sound:fen1.mp3]	phonetic-component
风:feng1	风	fēng	wind / news / style / custom / manner / CL:陣|阵[zhen4],絲|丝[si1]	疯枫	讽		29	348	once:几+乂			https://hanzicraft.com/dashboard/character/%E9%A3%8E%E7%96%AF%E6%9E%AB	[sound:feng1.mp3]	phonetic-component
風:feng1	風	fēng	wind / news / style / custom / manner / CL:陣|阵[zhen4],絲|丝[si1]	瘋楓	讽		29	348	once:几+䖝			https://hanzicraft.com/dashboard/character/%E9%A2%A8%E7%98%8B%E6%A5%93	[sound:feng1.mp3]	phonetic-component
夫:fu1	夫	fū	(classical) this, that / he, she, they / (exclamatory final particle) / (initial particle, introduces an opinion)	肤趺呋麸麩	扶芙蚨		13	377	once:人+二;radical:人+二	fú / 扶芙蚨		https://hanzicraft.com/dashboard/character/%E5%A4%AB%E8%82%A4%E8%B6%BA%E5%91%8B%E9%BA%B8%E9%BA%A9	[sound:fu1.mp3]	phonetic-component
